id;book;text;audiofile
1;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут, бак?сут ?м? бахъуыды к?нут.;8cl_1.mp3
2;Кудзоева А. Ирон Авз?г 8 класс;Бамбарын к?нут цавды бынат дзырдты.;8cl_2.mp3
3;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут ?м? бак?сут.;8cl_3.mp3
4;Кудзоева А. Ирон Авз?г 8 класс;Хур ?м? М?й;8cl_4.mp3
5;Кудзоева А. Ирон Авз?г 8 класс;Иу м?йрухс ?хс?в та арвыл Стъалыт?н ?пп?лыд М?й: – Дуне иууылд?р ?з тавын, Арвыл иу м? хуыз?н н?й!;8cl_5.mp3
6;Кудзоева А. Ирон Авз?г 8 класс;Боброн д?р м? ц?стм? хъазы, Марс м?н?й ф?куры тын.;8cl_6.mp3
7;Кудзоева А. Ирон Авз?г 8 класс;Хур й?х?д?г циу м? разы!;8cl_7.mp3
8;Кудзоева А. Ирон Авз?г 8 класс;З?ххы д?р ?з хъарм к?нын.;8cl_8.mp3
9;Кудзоева А. Ирон Авз?г 8 класс;?з н? д?н – з?ххыл цы уаид?;8cl_9.mp3
10;Кудзоева А. Ирон Авз?г 8 класс;Рох, ?дзард къ?дз?хт?, дур...;8cl_10.mp3
11;Кудзоева А. Ирон Авз?г 8 класс;Чи зоны ма, цас дзырдтаид?;8cl_11.mp3
12;Кудзоева А. Ирон Авз?г 8 класс;Ф?л? арвыл ракаст Хур.;8cl_12.mp3
13;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут, бак?сут ?м? бахъуыды к?нут дзырдт?.;8cl_13.mp3
14;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут аргъаум?.;8cl_14.mp3
15;Кудзоева А. Ирон Авз?г 8 класс;Б?рзонд къ?дз?хы цъуппыл з?ронд дз?бидыр л?ууыдис.;8cl_15.mp3
16;Кудзоева А. Ирон Авз?г 8 класс;Бын?й, сау хъ?ды, хызтис саг.;8cl_16.mp3
17;Кудзоева А. Ирон Авз?г 8 класс;Саг дз?бидыры федта ?м? й?м у?л?м? дзуры: – Рацу ард?м!;8cl_17.mp3
18;Кудзоева А. Ирон Авз?г 8 класс;Дз?бидыр – г?пп! г?пп! – ?м? саджыфарсм? фестадис;8cl_18.mp3
19;Кудзоева А. Ирон Авз?г 8 класс;– Д? бон хорз, хъ?лдз?г саг!;8cl_19.mp3
20;Кудзоева А. Ирон Авз?г 8 класс;– Хорз ц?р, м? х?ххон ?рвад!;8cl_20.mp3
21;Кудзоева А. Ирон Авз?г 8 класс;?в?цц?г?н, дз?бидыр, х?л?г к?ныс м? цардм?! – загъта саг.;8cl_21.mp3
22;Кудзоева А. Ирон Авз?г 8 класс;– Ак?с-ма, ?з д?у хуыз?н хъ?б?р къ?дз?хыл н? хуыссын, м? быны – ф?лм?н сыфт?рт?.;8cl_22.mp3
23;Кудзоева А. Ирон Авз?г 8 класс;Ды х?рыс ?над х?ххон ф?сал, ?з та – адджын к?рд?г ?м? б?л?сты сыфт?рт?!;8cl_23.mp3
24;Кудзоева А. Ирон Авз?г 8 класс;?з хъазын цъ?х быдыры, ды та уазал цъититыл иун?г?й ц?рыс!;8cl_24.mp3
25;Кудзоева А. Ирон Авз?г 8 класс;?виппайды к?ц?йд?р райхъуыстис куыйты р?йын;8cl_25.mp3
26;Кудзоева А. Ирон Авз?г 8 класс;Саг т?рсг?-ризг? хъ?дм? аг?пп кодта, й? м?гуыр х?ххон ?рвад?н х?рзбон д?р нал загъта.;8cl_26.mp3
27;Кудзоева А. Ирон Авз?г 8 класс;З?ронд дз?бидыр та къ?дз?хы с?рм? ссыдис ?м? й?хиным?рзагъта: «Т?рсг?-ризг?й? ц?рыны б?сты м?нм? м? м?гуырх?ххон цард хуызд?р к?сы!»;8cl_27.mp3
28;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут аргъаум?.;8cl_28.mp3
29;Кудзоева А. Ирон Авз?г 8 класс;Уызыны ?рцахстой, х?дзарм? й? бахастой ?м? й?м дз?б?х зылдысты: х?ринаг, дон ын л?в?рдтой.;8cl_29.mp3
30;Кудзоева А. Ирон Авз?г 8 класс;У?дд?р уызын ?нкъард кодта , алы бон дзырдта: – У? м? х?дзар, м? х?дзар!;8cl_30.mp3
31;Кудзоева А. Ирон Авз?г 8 класс;У?д иу бон загътой: – Ауадз?м уызыны, алы бон й? х?дзарыл тыхсы ?м? к?уы.;8cl_31.mp3
32;Кудзоева А. Ирон Авз?г 8 класс;Ауагътой й? ?м? й? ф?дыл ацыдысты, й? х?дзар ын фен?м , з?гъг?.;8cl_32.mp3
33;Кудзоева А. Ирон Авз?г 8 класс;Уызын араст ис ?м? къут?ры бын бабырыдис, й?хи ауагъта ?м? загъта;8cl_33.mp3
34;Кудзоева А. Ирон Авз?г 8 класс;– ?й, хи х?дзар, цы дз?б?х д?! Д?у?й хуызд?р ницы ис!;8cl_34.mp3
35;Кудзоева А. Ирон Авз?г 8 класс;Байхъусут ?м? бак?сут;8cl_35.mp3
36;Кудзоева А. Ирон Авз?г 8 класс;?р?гв?зз?г Ирыстоны;8cl_36.mp3
37;Кудзоева А. Ирон Авз?г 8 класс;?р?гв?зз?г хъарм боны хур арвы к?рон х?хт?м й? мидбылты худтис, урс къ?дз?х х?хт? ?взистау ?рттывтой.;8cl_37.mp3
38;Кудзоева А. Ирон Авз?г 8 класс;Х?хты с?рт? зым?г урс худт?й атыхта.;8cl_38.mp3
